Roll No,Marks Lab report (Out of 20),Marks Mid-Semester (Out of 40),Total Marks,Total Marks Percentage,Batch
201075,12.1875,32.0,44.1875,73.64583333333333,Y20
200249,12.875,30.4,43.275,72.125,Y20
200170,13.25,17.6,30.85,51.416666666666664,Y20
200527,14.125,14.4,28.525,47.541666666666664,Y20
200666,9.25,16.0,25.25,42.083333333333336,Y20
200436,12.25,22.0,34.25,57.083333333333336,Y20
200528,11.125,34.4,45.525,75.875,Y20
200154,19.0,27.6,46.6,77.66666666666667,Y20
200929,14.125,24.8,38.925,64.87499999999999,Y20
200630,15.75,28.4,44.15,73.58333333333333,Y20
200006,19.375,15.2,34.575,57.62500000000001,Y20
200348,16.375,24.0,40.375,67.29166666666667,Y20
201080,14.6875,18.0,32.6875,54.479166666666664,Y20
200821,13.75,25.2,38.95,64.91666666666667,Y20
200880,17.625,34.0,51.625,86.04166666666667,Y20
200958,12.25,24.4,36.65,61.083333333333336,Y20
201134,4.125,28.4,32.525,54.208333333333336,Y20
200639,15.625,34.0,49.625,82.70833333333333,Y20
200497,15.75,0.0,15.75,26.25,Y20
200253,7.625,25.6,33.225,55.375,Y20
200086,16.625,19.2,35.825,59.70833333333334,Y20
200425,13.625,24.0,37.625,62.708333333333336,Y20
200252,11.5,24.0,35.5,59.166666666666664,Y20
200108,19.5,32.4,51.9,86.5,Y20
200585,16.25,18.4,34.65,57.75,Y20
201109,18.625,38.8,57.425,95.70833333333333,Y20
200224,11.375,32.8,44.175,73.625,Y20
201090,12.75,22.4,35.15,58.583333333333336,Y20
200403,15.875,22.8,38.675,64.45833333333333,Y20
200657,16.125,32.0,48.125,80.20833333333333,Y20
200400,10.625,27.2,37.825,63.04166666666667,Y20
200864,13.375,26.0,39.375,65.625,Y20
200402,16.375,29.2,45.575,75.95833333333333,Y20
200312,10.875,22.8,33.675,56.12499999999999,Y20
200055,16.5,29.2,45.7,76.16666666666667,Y20
200111,17.375,26.0,43.375,72.29166666666667,Y20
200315,15.5,26.8,42.3,70.5,Y20
200418,15.125,34.8,49.925,83.20833333333333,Y20
200051,16.25,31.2,47.45,79.08333333333333,Y20
200016,17.5,12.8,30.3,50.5,Y20
200635,18.375,19.2,37.575,62.62500000000001,Y20
200109,9.625,32.8,42.425,70.70833333333333,Y20
201054,13.5,19.6,33.1,55.166666666666664,Y20
200166,15.75,25.2,40.95,68.25000000000001,Y20
200147,16.5,26.8,43.3,72.16666666666667,Y20
200334,17.375,35.2,52.575,87.625,Y20
200577,14.75,24.8,39.55,65.91666666666666,Y20
200598,16.625,20.0,36.625,61.041666666666664,Y20
200810,19.125,27.2,46.325,77.20833333333333,Y20
200960,17.875,22.0,39.875,66.45833333333333,Y20
200861,11.125,33.6,44.725,74.54166666666667,Y20
200786,11.375,24.0,35.375,58.958333333333336,Y20
200565,14.0,27.6,41.6,69.33333333333333,Y20
200788,11.5,22.8,34.3,57.16666666666666,Y20
201009,18.75,27.6,46.35,77.25,Y20
200019,18.625,28.4,47.025,78.375,Y20
200857,10.125,33.2,43.325,72.20833333333333,Y20
200276,11.625,25.2,36.825,61.37500000000001,Y20
200146,18.625,32.0,50.625,84.375,Y20
